fecha_divulgada,nombre_proyecto,tipo_documento,numero_proyecto,url_proyecto,linea_producto,nombre_empresa,pais,codigo_pais_ifc,industria,categoria_ambiental,departamento,estado,inversion_ifc_gestion_riesgo_millones_usd,inversion_ifc_garantia_millones_usd,inversion_ifc_prestamo_millones_usd,inversion_ifc_capital_millones_usd,total_inversion_ifc_aprobada_junta_millones_usd,codigo_pais_bm
2023-03-30,BOP EU Tchad,Summary of Investment Information (AIP Policy 2012),45483,https://disclosures.ifc.org/project-detail/SII/45483/bop-eu-tchad,Loan,EXPRESS UNION TCHAD,Chad,CHD,Financial Institutions,FI-3,Regional Industry - FIG Africa,Active,0.0,0.0,1.03,0.0,1.03,TD
2014-12-04,Millicom Tchad SA,Summary of Investment Information (AIP Policy 2012),34297,https://disclosures.ifc.org/project-detail/SII/34297/millicom-tchad-sa,Loan,MOOV AFRICA TCHAD SA,Chad,CHD,"Telecommunications, Media, and Technology",B,"TMT, Venture Capital &amp; Funds",Completed,0.0,0.0,76.06,0.0,76.06,TD
2013-04-30,Chad Clinic,Summary of Investment Information (AIP Policy 2012),32607,https://disclosures.ifc.org/project-detail/SII/32607/chad-clinic,Loan,CLINIQUE PROVIDENCE,Chad,CHD,Health and Education,B,Regional Industry - MAS Africa,Active,0.0,0.0,1.38,0.0,1.38,TD
2010-04-19,Aubaine Graphic SA Printing Chad,Summary of Proposed Investment (Disclosure Policy 2006),29084,https://disclosures.ifc.org/project-detail/SPI/29084/aubaine-graphic-sa-printing-chad,Loan,Imprimerie Aubaine Graphic,Chad,CHD,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Completed,0.0,0.0,2.83,0.0,2.83,TD
2010-03-04,Ecobank Chad,Summary of Proposed Investment (Disclosure Policy 2006),29317,https://disclosures.ifc.org/project-detail/SPI/29317/ecobank-chad,Loan,ECOBANK TCHAD SA,Chad,CHD,Financial Institutions,FI,Banking and Capital Markets,Completed,0.0,0.0,3.08,0.0,3.08,TD
2009-09-29,Millicom Tchad S.A.,Summary of Proposed Investment (Disclosure Policy 2006),28644,https://disclosures.ifc.org/project-detail/SPI/28644/millicom-tchad-s.a.,Loan,MOOV AFRICA TCHAD SA,Chad,CHD,"Telecommunications, Media, and Technology",B,"TMT, Venture Capital &amp; Funds",Completed,0.0,0.0,21.2,0.0,21.2,TD
2008-03-07,Geyser SA,Summary of Proposed Investment (Disclosure Policy 2006),24758,https://disclosures.ifc.org/project-detail/SPI/24758/geyser-sa,Loan,GEYSER SA,Chad,CHD,"Tourism, Retail, and Property",B,Regional Industry - MAS Africa,Completed,0.0,0.0,3.19,0.0,3.19,TD
2002-09-10,Financial Bank - Tchad,Summary of Proposed Investment (Disclosure Policy 2006),11209,https://disclosures.ifc.org/project-detail/SPI/11209/financial-bank---tchad,Guarantee,FINANCIAL BANK TCHAD,Chad,CHD,Financial Institutions,FI,Regional Industry - FIG Africa,Completed,0.0,1.0,0.0,0.0,1.0,TD
2000-03-03,Chad-Cameroon Petroleum Development and Pipeline Project,Summary of Proposed Investment (Disclosure Policy 2006),4338,https://disclosures.ifc.org/project-detail/SPI/4338/chad-cameroon-petroleum-development-and-pipeline-project,Loan,"TChad Oil Transportation Company, S.A., and Cameroon Oil Transportation Company, S.A.",Chad,CHD,"Oil, Gas, and Mining",A,Gbl Infrastructure & Natural Resources,Completed,0.0,0.0,100.0,0.0,100.0,TD
2023-10-06,Atlas SME BOW,Summary of Investment Information (AIP Policy 2012),48085,https://disclosures.ifc.org/project-detail/SII/48085/atlas-sme-bow,Loan,BANCO ATLAS SA,Paraguay,PAR,Financial Institutions,FI-2,Regional Industry FIG LAC & EUR,Active,0.0,0.0,50.0,0.0,50.0,PY
2023-06-30,Continental CL III,Summary of Investment Information (AIP Policy 2012),46898,https://disclosures.ifc.org/project-detail/SII/46898/continental-cl-iii,Loan,BANCO CONTINENTAL S.A.E.C.A.,Paraguay,PAR,Financial Institutions,FI-2,Regional Industry FIG LAC & EUR,Active,0.0,0.0,50.0,0.0,50.0,PY
2022-04-19,Sudameris Loan,Summary of Investment Information (AIP Policy 2012),46124,https://disclosures.ifc.org/project-detail/SII/46124/sudameris-loan,Loan,SUDAMERIS BANK S.A.E.C.A.,Paraguay,PAR,Financial Institutions,FI-2,Regional Industry FIG LAC & EUR,Active,0.0,0.0,75.0,0.0,75.0,PY
2021-05-07,Agrofertil 2021,Summary of Investment Information (AIP Policy 2012),45013,https://disclosures.ifc.org/project-detail/SII/45013/agrofertil-2021,Loan,AGROFERTIL S.A.,Paraguay,PAR,Agribusiness and Forestry,B,Regional Industry MAS LAC & EUR,Active,0.0,0.0,100.0,0.0,100.0,PY
2020-07-28,RSE COVID Agrofertil Ext,Summary of Investment Information (AIP Policy 2012),44215,https://disclosures.ifc.org/project-detail/SII/44215/rse-covid-agrofertil-ext,Loan,AGROFERTIL S.A.,Paraguay,PAR,Agribusiness and Forestry,B,Regional Industry - MAS LAC,Completed,0.0,0.0,10.0,0.0,10.0,PY
2019-04-03,Familiar CL,Summary of Investment Information (AIP Policy 2012),42281,https://disclosures.ifc.org/project-detail/SII/42281/familiar-cl,Loan,BANCO FAMILIAR S.A.E.C.A.,Paraguay,PAR,Financial Institutions,FI-2,Regional Industry - FIG LAC,Completed,0.0,0.0,8.0,0.0,8.0,PY
2019-03-26,Continental CLII,Summary of Investment Information (AIP Policy 2012),42253,https://disclosures.ifc.org/project-detail/SII/42253/continental-clii,Loan,BANCO CONTINENTAL S.A.E.C.A.,Paraguay,PAR,Financial Institutions,FI-2,Regional Industry - FIG LAC,Completed,0.0,0.0,100.0,0.0,100.0,PY
2018-04-27,Agrotec III,Summary of Investment Information (AIP Policy 2012),40605,https://disclosures.ifc.org/project-detail/SII/40605/agrotec-iii,Loan,AGRIHOLD MANAGEMENT CORP,Paraguay,PAR,Agribusiness and Forestry,B,Regional Industry MAS LAC & EUR,Completed,0.0,0.0,105.0,0.0,105.0,PY
2016-02-25,Agrofertil Ext,Summary of Investment Information (AIP Policy 2012),37602,https://disclosures.ifc.org/project-detail/SII/37602/agrofertil-ext,Loan,AGROFERTIL S.A.,Paraguay,PAR,Agribusiness and Forestry,B,Regional Industry - MAS LAC,Completed,0.0,0.0,80.0,0.0,80.0,PY
2015-08-24,Itau PY Loan,Summary of Investment Information (AIP Policy 2012),37098,https://disclosures.ifc.org/project-detail/SII/37098/itau-py-loan,Loan,BANCO ITAU PARAGUAY S.A.,Paraguay,PAR,Financial Institutions,FI-2,Regional Industry FIG LAC & EUR,Completed,0.0,0.0,60.0,0.0,60.0,PY
